Organic ID,OrderTypes ID,PieType ID,PieFlavor ID,Order Date,Day of Week,Quantity,Cost,Revenue
1,1,1,0,25 June 2021,Friday,1,$20.00,$20
1,0,1,0,25 June 2021,Friday,2,$40.00,$80
1,0,0,0,25 June 2021,Friday,3,$7.50,$22.5
1,0,0,0,25 June 2021,Friday,1,$2.50,$2.5
1,0,1,0,15 November 2019,Friday,4,$80.00,$320
1,1,1,0,14 February 2020,Friday,4,$80.00,$320
1,0,0,0,01 May 2020,Friday,5,$12.50,$62.5
1,0,0,0,30 April 2021,Friday,1,$2.50,$2.5
1,0,0,0,14 May 2021,Friday,1,$2.50,$2.5
1,1,1,0,14 May 2021,Friday,2,$40.00,$80
1,0,0,0,14 May 2021,Friday,4,$10.00,$40
1,0,1,0,14 May 2021,Friday,5,$100.00,$500
1,0,1,0,14 May 2021,Friday,3,$60.00,$180
1,1,0,0,02 October 2020,Friday,2,$5.00,$10
1,1,0,0,02 October 2020,Friday,2,$5.00,$10
1,0,0,0,02 October 2020,Friday,4,$10.00,$40
1,0,1,0,02 October 2020,Friday,5,$100.00,$500
1,1,1,0,02 October 2020,Friday,5,$100.00,$500
1,0,1,0,02 October 2020,Friday,5,$100.00,$500
1,0,0,0,02 October 2020,Friday,3,$7.50,$22.5
1,1,1,0,02 October 2020,Friday,2,$40.00,$80
1,1,0,0,02 October 2020,Friday,2,$5.00,$10
1,0,1,0,27 November 2020,Friday,3,$60.00,$180
1,1,0,0,27 November 2020,Friday,5,$12.50,$62.5
1,1,0,0,27 November 2020,Friday,3,$7.50,$22.5
1,0,1,0,27 November 2020,Friday,2,$40.00,$80
1,1,0,0,27 November 2020,Friday,5,$12.50,$62.5
1,1,1,0,07 May 2021,Friday,5,$100.00,$500
1,0,1,0,07 May 2021,Friday,5,$100.00,$500
1,0,1,0,07 May 2021,Friday,3,$60.00,$180
1,0,0,0,07 May 2021,Friday,2,$5.00,$10
1,1,0,0,16 July 2021,Friday,3,$7.50,$22.5
1,0,0,0,16 July 2021,Friday,3,$7.50,$22.5
1,0,1,0,17 April 2020,Friday,3,$60.00,$180
1,0,0,0,17 April 2020,Friday,3,$7.50,$22.5
1,0,0,0,17 April 2020,Friday,4,$10.00,$40
1,0,0,0,19 March 2021,Friday,5,$12.50,$62.5
1,0,0,0,09 July 2021,Friday,2,$5.00,$10
1,1,0,0,09 July 2021,Friday,2,$5.00,$10
1,1,0,0,20 November 2020,Friday,1,$2.50,$2.5
1,1,0,0,20 November 2020,Friday,2,$5.00,$10
1,1,1,0,20 November 2020,Friday,1,$20.00,$20
1,0,1,0,20 November 2020,Friday,2,$40.00,$80
1,1,0,0,23 July 2021,Friday,1,$2.50,$2.5
1,1,1,0,23 July 2021,Friday,4,$80.00,$320
1,0,0,0,23 July 2021,Friday,2,$5.00,$10
1,0,0,0,23 July 2021,Friday,2,$5.00,$10
1,1,1,0,13 November 2020,Friday,5,$100.00,$500
1,0,0,0,13 November 2020,Friday,1,$2.50,$2.5
1,0,1,0,13 November 2020,Friday,2,$40.00,$80
1,1,0,0,13 November 2020,Friday,5,$12.50,$62.5
1,1,0,0,08 October 2021,Friday,3,$7.50,$22.5
1,1,1,0,23 April 2021,Friday,2,$40.00,$80
1,0,1,0,23 April 2021,Friday,4,$80.00,$320
1,0,1,0,23 April 2021,Friday,1,$20.00,$20
1,0,1,0,27 December 2019,Friday,3,$60.00,$180
1,0,0,0,11 October 2019,Friday,2,$5.00,$10
1,0,1,0,11 October 2019,Friday,4,$80.00,$320
1,1,1,0,11 October 2019,Friday,3,$60.00,$180
1,1,0,0,11 October 2019,Friday,2,$5.00,$10
1,1,0,0,11 October 2019,Friday,5,$12.50,$62.5
1,0,0,0,11 October 2019,Friday,4,$10.00,$40
1,1,1,0,30 April 2021,Friday,2,$40.00,$80
